,TP,assignee_id
340,2.0,org_lbVJ3FMAqs7cptKHlozF
341,1.0,org_2v6802GsEVuYJUHjRtCP
342,3.0,org_b72aHZ8YEvYbsQNIELvy
343,2.0,org_4iTmAptC4nefH4qxfFDn
344,1.0,org_K0KCFrOO5ZA3Tz9CLlyH
345,5.0,org_JzhVw8Q6GRCC0NmaTtVo
346,134.0,org_jts9nb9vfcLqCHzvssbd
347,1.0,org_1nFfmkInbk34ieuJTkFW
348,1.0,org_zgNbI87DCKLAKDhiQV01
349,1.0,org_iVZxnkuVzv6iEOBjGhm8
350,10.0,org_kS36NbfUyEglThyrRJAl
351,18.0,org_0vIWsMDWx1koR9QqwBzA
352,25.0,org_HbQFrfRRiw6RH6DOp5Rx
353,31.0,org_mPB2Xv7jInbYRAkiQcHS
354,8.0,org_6guU0uKSUBXoEtH0s2Yk
355,62.0,org_jNAAKSGp2gNMKdJImrIL
356,43.0,org_839yrfYL8J12LcdvBhuN
357,1.0,org_zamieOCwGjTYRC0dvxls
358,11.0,org_2OI4WZs6hlQbNOHI5XPw
359,4.0,org_z4YI92mxXPvsSjOuPOGI
360,1.0,org_ANoNnwCtE1JSaLPdas8v
361,4.0,org_aJIbhOj7KTP9xkIZNsjW
362,2.0,org_zzLz4Jccyei33q7h9Q8e
363,3.0,org_75ScpNuRZSRhwZegwzke
364,7.0,org_uodAhUZkWIiJlAsDopN7
365,4.0,org_iipH8DNJBndZajA7QbLg
366,104.0,org_x7QCt6uBbnLCie8HpVkb
367,4.0,org_FqujyFs9gMMR8ey61NqN
368,2.0,org_IYXYxXNS5qUtN2XQwOnr
369,155.0,org_c3xiR1PXut1LZo0aaul9
370,1.0,org_GpmxvOPuj33LOEajAxZY
371,37.0,org_f1qD5WvcoQ4AiHMyzUn3
372,4.0,org_qi4lToXvW0y8FuUidN90
373,1.0,org_JCfZI7f3PXs5NWs2eXnB
374,13.0,org_XGr8fxx9qFbRgp7HEXG0
375,8.0,org_5ROF5zCosG4AVvjV4LAA
376,23.0,org_yQnuy6EqRuVuDnlEQz5H
377,1.0,org_OH8Z3l0sAMlAJMrFZcl5
378,35.0,org_4KIAZCVq8RYKiETFToxr
379,1.0,org_YVNx56POithZVCjAclhW
380,2.0,org_SxUsnRkB3lPXlF8QiKXA
381,11.0,org_JdGH7dRZzXcW1ugjZBii
382,20.0,org_qxZI2J7Pho2SgJVKFMaS
383,17.0,org_pqmJCzZzEJluJNJdPN1K
384,1.0,org_qffNFa4jvF5j606vxXUb
385,18.0,org_J36VPhY46doZwCRIlwT7
386,19.0,org_FC10ln8DZIQYdFkuXhIe
387,19.0,org_stdsJZy17Gn3ImqlG8T7
388,1.0,org_0DXaXWU81d2AcgTD38WG
389,49.0,org_XeKaoPi47bLucmAuorC8
390,57.0,org_bQ1OqXnaKHvCkZit48l7
391,2.0,org_RJYZKODgQtxXorPJ4dGG
392,6.0,org_lVdYgkLBjtWyzuZ5TZUL
393,55.0,org_6ZxHy0KZ1I4HwVFRK2AU
394,54.0,org_goUkljX0t1kU8cz0riJC
395,1.0,org_the59BNzyc8p4dAd1KLh
396,4.0,org_FYsrVDWY5EUT7DfVG9El
397,7.0,org_jJjvEBtHbIjzwlKNn2D2
398,11.0,org_8Of21XeEpgzBqxFaH1Ge
399,22.0,org_An0tBQcoskhfGYkJKMqP
400,2.0,org_ypmRlLBcWZYFnDPilobr
401,19.0,org_2PGcXIHW7qFIktGt0ska
402,84.0,org_mQEeuXGVpVjfWZyqU8ek
403,1.0,org_aDY4aTl6NIXoe6VqQ4Jf
404,1.0,per_7oO2pV9KpeYjaCFfgN02
405,15.0,org_rs2APJQbxGTF69o3jp0I
406,1.0,org_goybd974FOJKOCYVjrKe
407,8.0,org_8Rhj4PU82jtVRp01MFEw
408,4.0,org_bR73ad0c70PhlGTcx2W9
409,1.0,org_nQbQro3oiFyOYSOII6p4
410,1.0,org_mPoXyJR9lUsbz8jCSvcE
411,7.0,org_eD2QoIzJKImhywAeeb4t
412,2.0,org_wF10c7pg3T4NKw9pMIRJ
413,8.0,org_RkhUaBC10OUzj54XzPof
414,1.0,org_2h9V1Xynv8lOkPByZ5jP
415,78.0,org_lmpNLcBjB3DgATNID60m
